电影ID,电影链接,电影名称,导演,编剧,主演,类型,制片国家/地区,语言,上映日期,片长,又名,IMDb,豆瓣评分,评价人数,5星,4星
1303164,https://movie.douban.com/subject/1303164/,第十三层 The 13th Floor (1988),克里斯·罗哈,克里斯·罗哈,Kylie Clare / Tony Blackett / Allen Leong / Matthew Nicholls / Nik Forster / Vic Rooney / 乔吉·帕克 / Lisa Hensley / 米兰达·奥图 / Jeff Truman / Paul Hunt / Tim McKenzie / Adam Cook / Cathren Michalak / 迈克尔·卡顿,恐怖,澳大利亚,英语,1988-05(戛纳电影节),100分钟,十三层楼,tt0094591,8.3,6128,35.3%,47.5%
1303408,https://movie.douban.com/subject/1303408/,福尔摩斯二世 Sherlock Jr. (1924),巴斯特·基顿,让·C·阿韦 / Joseph A. Mitchell / 克莱德·布鲁克曼,巴斯特·基顿 / 凯瑟琳·麦奎尔 / 乔·基顿 / Erwin Connelly / Ward Crane / 更多...,喜剧 / 动作 / 爱情,美国,无对白,1924-04-21(美国),45分钟,小私家侦探,tt0015324,9.4,34723,76.4%,19.8%
1303418,https://movie.douban.com/subject/1303418/,你逃我也逃 To Be or Not to Be (1942),恩斯特·刘别谦,恩斯特·刘别谦 / 梅尔希奥·伦杰尔 / 埃德温·贾斯特斯·迈耶,卡洛·朗白 / 杰克·本尼 / 罗伯特·斯塔克 / 菲利克斯·布雷萨特 / 莱昂内尔·阿特威尔 / 更多...,喜剧 / 爱情 / 战争,美国,英语 / 德语,1942-03-06(美国),99分钟,生存还是毁灭 / 戏谍人生 / 扮嘢奇兵 / 生死攸关 / 嗨！我的元首 / 生或死 / 生死问题，是死？是活？ / 生死大逃亡,tt0035446,9.3,60061,68.1%,27.1%
1303447,https://movie.douban.com/subject/1303447/,火星任务 Mission to Mars (2000),布莱恩·德·帕尔玛,格雷厄姆·约斯特 / 吉姆·托马斯 / 约翰·托马斯 / 洛威尔·凯农,加里·辛尼斯 / 蒂姆·罗宾斯 / 唐·钱德尔 / 康妮·尼尔森 / 杰瑞·奥康奈尔,剧情 / 科幻 / 惊悚 / 冒险,美国,英语,2000-03-06(美国),114分钟,目的地火星 / 火星计划 / 火星使命,tt0183523,7.6,33834,18.3%,48.2%
1303451,https://movie.douban.com/subject/1303451/,海上花 (1998),侯孝贤,朱天文 / 韩邦庆 / 张爱玲,梁朝伟 / 羽田美智子 / 刘嘉玲 / 李嘉欣 / 高捷 / 更多...,剧情,中国台湾 / 日本,粤语 / 上海话,1998-10-01(中国台湾) / 1998-05-20(戛纳电影节),113分钟,Flowers of Shanghai,tt0156587,8.2,95567,32.5%,48.6%
1303458,https://movie.douban.com/subject/1303458/,南国再见，南国 南國再見，南國 (1996),侯孝贤,高捷 / 朱天文 / 林强,高捷 / 林强 / 伊能静 / 徐贵樱 / 高明,剧情 / 犯罪,中国台湾 / 日本,汉语普通话 / 闽南语,1996-05-13(戛纳电影节) / 1996-09-06(多伦多电影节),124 分钟 / 116分钟(美国),"Goodbye South, Goodbye",tt0117151,8.1,27194,28.1%,51.2%
1303394,https://movie.douban.com/subject/1303394/,青蛇 (1993),徐克,李碧华 / 徐克,张曼玉 / 王祖贤 / 赵文卓 / 吴兴国 / 马精武 / 更多...,剧情 / 爱情 / 奇幻 / 古装,中国香港 / 中国大陆,粤语 / 汉语普通话,2025-08-23(中国大陆) / 1993-11-04(中国香港),99分钟,Green Snake,tt0106559,8.6,605139,45.8%,41.9%
1303459,https://movie.douban.com/subject/1303459/,妖夜慌踪 Lost Highway (1997),大卫·林奇,巴里·吉福德 / 大卫·林奇,比尔·普尔曼 / 帕特丽夏·阿奎特 / 巴萨扎·盖提 / 罗伯特·劳吉亚 / 罗伯特·布莱克 / 更多...,悬疑 / 惊悚,法国 / 美国,英语,1997-01-15(法国) / 1997-02-21(美国),134分钟,惊狂(台) / 妖夜荒踪 / 迷失的高速公路 / 失落的高速公路 / 迷失高速公路,tt0116922,8.1,41945,32.3%,46.0%
1303462,https://movie.douban.com/subject/1303462/,离魂异客 Dead Man (1995),吉姆·贾木许,吉姆·贾木许,约翰尼·德普 / 加利·法梅尔 / 克里斯平·格洛弗 / 兰斯·亨利克森 / 迈克尔·维克特 / 更多...,剧情 / 西部 / 奇幻 / 冒险,美国 / 德国 / 日本,英语,1995-05-26,121分钟,死人 / 你看见死亡的颜色吗？,tt0112817,8,26088,29.8%,45.7%
1303463,https://movie.douban.com/subject/1303463/,冷酷祭典 La cérémonie (1995),克洛德·夏布洛尔,露丝·伦德尔 / 克洛德·夏布洛尔 / 卡罗琳·埃利亚凯夫,伊莎贝尔·于佩尔 / 桑德里娜·博内尔 / 让-皮埃尔·卡塞尔 / 杰奎琳·比塞特 / 维吉妮·拉朵嫣 / 更多...,剧情 / 惊悚 / 犯罪,法国 / 德国,法语,1995-08-30(法国),111分钟,仪式 / A Judgement in Stone,tt0112769,8,19326,25.5%,53.2%
1303471,https://movie.douban.com/subject/1303471/,生生长流 زندگی و دیگر هیچ (1992),阿巴斯·基亚罗斯塔米,阿巴斯·基亚罗斯塔米,法德哈·基德曼 / 布巴·巴尤尔· / 奥西纳·法赫 / 侯赛因·拉扎伊 / Tahereh Ladanian,剧情 / 灾难,伊朗,波斯语,1992-02-01(伊朗),95分钟 / 102分钟(阿根廷) / 108分钟(加拿大) / 91分钟(台湾),"春风吹又生(港) / 生活在继续 / Zendegi va digar hich / And Life Goes on... / Life, and Nothing More...",tt0105888,8.8,26615,49.9%,40.3%
1303472,https://movie.douban.com/subject/1303472/,双峰：与火同行 Twin Peaks: Fire Walk with Me (1992),大卫·林奇,大卫·林奇 / 罗伯特·恩格斯 / 马克·弗罗斯特,雪莉·李 / 雷·怀斯 / 梅晨·阿米克 / 达纳·艾希布鲁克 / Phoebe Augustine / 更多...,剧情 / 悬疑 / 惊悚 / 恐怖,法国 / 美国,英语 / 拉丁语,1992-06-03,135 分钟,迷离劫(港) / 双峰镇：与火同行,tt0105665,8,20414,30.8%,44.4%
1303482,https://movie.douban.com/subject/1303482/,偷偷爱你 偷偷愛你 (1996),谭朗昌,王晶,梁朝伟 / 邱淑贞 / 葛民辉 / 刘锦玲 / 乔宏 / 更多...,剧情 / 喜剧 / 爱情,中国香港,粤语,1996-01-04(中国香港),99分钟,新与龙共舞之偷偷爱你 / Blind Romance,tt0117948,7.7,28004,21.9%,44.4%
1303485,https://movie.douban.com/subject/1303485/,洗澡 (1999),张杨,张杨 / 刘奋斗 / 霍昕 / 刁亦男 / 蔡尚君,姜武 / 濮存昕 / 朱旭 / 李丁 / 封顺 / 更多...,剧情 / 喜剧 / 家庭,中国大陆,汉语普通话,1999-09-14(多伦多电影节),92分钟,Shower,tt0215369,8.4,76470,37.0%,49.2%
1303521,https://movie.douban.com/subject/1303521/,特写 کلوزآپ (1990),阿巴斯·基亚罗斯塔米,阿巴斯·基亚罗斯塔米,侯赛因·萨布齐恩 / 莫森·马克马尔巴夫 / Abolfazl Ahankhah / Mehrdad Ahankhah / Monoochehr Ahankhah / 更多...,剧情 / 犯罪,伊朗,波斯语 / 阿塞拜疆语,1990-02-01(伊朗曙光旬电影节),98分钟,نمای نزدیک / Close-Up / Nema-ye Nazdik,tt0100234,8.8,37397,53.0%,37.1%
1303460,https://movie.douban.com/subject/1303460/,战栗黑洞 In the Mouth of Madness,约翰·卡朋特,迈克·德·鲁卡,山姆·尼尔 / 朱莉·卡门 / 尤尔根·普洛斯诺,悬疑 / 恐怖 / 奇幻,美国,英语,1994-12-10(黑色电影节) / 1995-02-03(美国),95 分钟,完全魔鬼手册 / 落入虎口 / 疯人之口,tt0113409,7.8,35024,24.7%,46.3%
1303525,https://movie.douban.com/subject/1303525/,流浪者之歌 Дом за вешање (1988),埃米尔·库斯图里察,埃米尔·库斯图里察 / 戈尔丹·米希奇,达沃尔·杜伊莫维奇 / 博拉·托德洛维奇 / 柳比察·阿德若维奇 / 扎比特·梅梅托夫 / 普雷德拉格·拉科维奇 / 更多...,剧情 / 喜剧 / 犯罪 / 奇幻,意大利 / 英国 / 南斯拉夫,罗马尼语 / 塞尔维亚克罗地亚语 / 意大利语 / 英语 / 德语 / 马其顿语 / 斯洛文尼亚语,1988-12-21(南斯拉夫),142分钟 / 270分钟(加长版),茨冈人的时代 / 天伦劫 / 吉普赛年代 / 吉普赛人的时光 / The Time of the Gypsies / Dom za vešanje,tt0097223,9,28452,58.8%,32.3%
1303531,https://movie.douban.com/subject/1303531/,下班后 After Hours (1985),马丁·斯科塞斯,约瑟夫·米恩,格里芬·邓恩 / 罗姗娜·阿奎特 / 弗娜·布鲁姆 / 汤米·钟 / 琳达·费奥伦蒂诺 / 更多...,剧情 / 喜剧 / 惊悚,美国,英语,1985-09-13,97 分钟,八小时之外 / 业余时间 / 三更半夜(港),tt0088680,8.1,18697,28.5%,51.3%
1303535,https://movie.douban.com/subject/1303535/,战场上的快乐圣诞 Merry Christmas Mr. Lawrence (1983),大岛渚,劳伦斯·凡·德·普司特 / 大岛渚 / 保罗·梅尔斯贝格,大卫·鲍伊 / 汤姆·康蒂 / 坂本龙一 / 北野武 / 杰克·汤普森 / 更多...,剧情 / 同性 / 战争,英国 / 新西兰 / 日本,英语 / 日语,1983-05-11(戛纳电影节) / 1983-05-28(日本) / 1983-08-25(英国),123分钟,"俘虏(台) / 圣诞快乐，劳伦斯先生 / Merry Christmas, Mr. Lawrence / 戦場のメリークリスマス",tt0085933,8.8,162658,51.3%,37.5%
1303536,https://movie.douban.com/subject/1303536/,钱 L'argent (1983),罗伯特·布列松,列夫·托尔斯泰 / 罗伯特·布列松,克里斯蒂安·佩蒂 / Vincent Risterucci / Caroline Lang / Sylvie Van den Elsen / Michel Briguet / 更多...,剧情 / 犯罪,法国 / 瑞士,法语 / 拉丁语,1983-05-16(戛纳电影节) / 1983-05-18(法国),85分钟,金钱 / Money,tt0085180,8.3,20346,34.7%,48.3%
1303526,https://movie.douban.com/subject/1303526/,女人韵事 Une affaire de femmes (1988),克洛德·夏布洛尔,科洛·塔维涅 / 克洛德·夏布洛尔 / Francis Szpiner,伊莎贝尔·于佩尔 / 弗朗索瓦·克鲁塞 / 玛丽·特兰蒂尼昂 / 尼尔斯·塔维涅 / 洛丽塔·夏马 / 更多...,剧情 / 爱情 / 历史,法国,法语 / 德语,1988-09-14,108分钟,女人情事 / 一桩妇女公案 / Story of Women,tt0096336,8.2,14808,27.5%,56.1%
1303542,https://movie.douban.com/subject/1303542/,石榴的颜色 Նռան գույնը (1969),谢尔盖·帕拉杰诺夫,Sayat Nova / 谢尔盖·帕拉杰诺夫,索菲柯·齐阿乌列里 / 米尔克·阿尔克桑亚 / 维勒·加尔斯特亚 / 高吉·格吉奇科里 / 斯巴达克·巴加什维利 / 更多...,剧情 / 传记 / 历史,苏联,亚美尼亚语 / 阿塞拜疆语 / 格鲁吉亚语,1969-10(亚美尼亚),79分钟(亚美尼亚) / 73分钟(苏联),红尘百劫(港) / Սայաթ-Նովա / Sayat Nova / The Color of Pomegranates / Colour of Pomegranate / Red Pomegranate,tt0063555,8.6,30755,48.2%,38.0%
1303545,https://movie.douban.com/subject/1303545/,怪宴 Murder by Death (1976),罗伯特·穆尔,尼尔·西蒙,艾琳·布伦南 / 杜鲁门·卡波特 / 詹姆斯·可可 / 彼得·法尔克 / 亚历克·吉尼斯 / 更多...,喜剧 / 悬疑 / 惊悚 / 犯罪,美国,英语,1976-06-23,94 分钟,怪案 / 谋杀晚宴,tt0074937,8.1,21703,28.9%,50.5%
1303559,https://movie.douban.com/subject/1303559/,扒手 Pickpocket (1959),罗伯特·布列松,罗伯特·布列松,马丁·拉萨尔 / 玛莉卡·格林 / Jean Pélégri / Dolly Scal / Pierre Leymarie / 更多...,剧情 / 犯罪,法国,法语,1959-12-16(法国),75分钟,窃手,tt0053168,8.3,26682,33.5%,48.5%
1303543,https://movie.douban.com/subject/1303543/,玩乐时间 PlayTime (1967),雅克·塔蒂,雅克·塔蒂 / 雅克·拉格朗日 / 阿特·布赫瓦尔德,雅克·塔蒂 / 芭芭拉·丹内克 / 丽塔·麦登 / 弗兰斯·鲁米莉 / 弗兰斯·德拉哈勒 / 更多...,喜剧,法国 / 意大利,法语 / 英语 / 德语,1967-12-16(法国),155分钟 / 124分钟,嬉戏时间(港) / 游戏时间(台) / Playtime,tt0062136,8.8,45766,54.8%,33.7%
1303562,https://movie.douban.com/subject/1303562/,死囚越狱 Un Condamné à mort s'est échappé (1956),罗伯特·布列松,安德烈·德维尼 / 罗伯特·布列松,弗朗索瓦·莱特瑞尔 / 查尔斯·勒克莱恩 / 莫里斯·贝尔布洛克 / 罗兰·英纳德 / 雅克·埃尔托 / 更多...,剧情 / 惊悚 / 战争,法国,法语 / 德语,1956-11-11(法国),101分钟,最后逃生 / 抵抗 / Le vent souffle où il veut / A Man Escaped,tt0049902,8.5,24126,40.6%,44.6%
1303590,https://movie.douban.com/subject/1303590/,玻璃之城 (1998),张婉婷,罗启锐 / 张婉婷,黎明 / 舒淇 / 吴彦祖 / 杨张新悦 / 谷德昭 / 更多...,剧情 / 爱情,中国香港,英语 / 汉语普通话 / 粤语,1998-10-28(中国香港),110分钟,City of Glass,tt0179110,7.9,75615,25.4%,46.0%
1303577,https://movie.douban.com/subject/1303577/,雨月物语 雨月物語 (1953),沟口健二,辻久一 / 上田秋成 / 川口松太郎 / 依田义贤 / Isamu Yoshii,京町子 / 水户光子 / 田中绢代 / 森雅之 / 小泽荣太郎 / 更多...,剧情 / 战争 / 奇幻,日本,日语,1953-03-26(日本),96分钟,Ugetsu Monogatari / Tales of Ugetsu / Ugetsu,tt0046478,8.6,33576,42.7%,46.8%
1303638,https://movie.douban.com/subject/1303638/,都市情缘,刘镇伟,刘镇伟,黎明 / 吴孟达 / 吴倩莲 / 江希文 / 陈浩民,剧情 / 爱情,中国香港,粤语,1994-06-09,98 分钟,Love & The City / 叛逆小子 / 热血男儿,tt0109692,8.3,15283,36.2%,43.0%
1303654,https://movie.douban.com/subject/1303654/,杀人短片 Krótki film o zabijaniu (1988),克日什托夫·基耶斯洛夫斯基,克日什托夫·基耶斯洛夫斯基 / 克日什托夫·皮耶谢维奇,米罗斯瓦夫·巴卡 / 克日什托夫·格洛比什 / 扬·特萨利兹 / 比涅尤·扎塔西奇斯 / 芭芭拉·杰坎 / 更多...,剧情 / 犯罪,波兰,波兰语,1988-03-11(波兰),84分钟,杀人影片 / 杀诫 / 关于杀人的短片 / 教我如何去杀他 / A Short Film About Killing,tt0095468,8.2,18973,33.6%,45.6%
1303676,https://movie.douban.com/subject/1303676/,猛鬼大厦 猛鬼大廈 (1989),刘镇伟,刘镇伟,吴君如 / 楼南光 / 张敏 / 柏安妮 / 曹查理 / 更多...,喜剧 / 恐怖,中国香港,粤语,1989,93 分钟,魁星踢斗Ⅱ(台) / Thunder Cops / Operation Pink Squad II / 猛鬼福星,tt0093523,6.9,11755,12.8%,29.1%
1303695,https://movie.douban.com/subject/1303695/,洛奇3 Rocky III (1982),西尔维斯特·史泰龙,西尔维斯特·史泰龙,西尔维斯特·史泰龙 / 塔莉娅·夏尔 / 伯特·杨 / 卡尔·韦瑟斯 / 劳伦斯·特劳德,剧情 / 动作 / 运动,美国,英语,1982-05-28,99 分钟,洛奇第三集虎威 / 洛基3 / Rocky 3,tt0084602,8.3,20353,35.7%,45.0%
1303698,https://movie.douban.com/subject/1303698/,405谋杀案 (1980),沈耀庭,于本正 / 沈耀庭,仲星火 / 徐敏 / 严翔 / 史久峰 / 吴喜千 / 更多...,悬疑 / 惊悚,中国大陆,汉语普通话,1980-05-11(中国大陆),97分钟 / 102分钟(修复版),Murder In 405,tt0339981,8.5,23789,37.7%,49.1%
1303723,https://movie.douban.com/subject/1303723/,天堂陌影 Stranger Than Paradise (1984),吉姆·贾木许,吉姆·贾木许,约翰·劳瑞 / 伊斯特·伯林特 / 理查德·埃德森 / 切奇利娅·斯塔克 / Danny Rosen / 更多...,剧情 / 喜剧,美国 / 西德,英语 / 匈牙利语 / 意大利语,1984-11-09,89分钟,天堂异客 / 奇异的乐园,tt0088184,8.5,20128,40.3%,46.7%
1303815,https://movie.douban.com/subject/1303815/,你丫闭嘴！ Tais-toi! (2003),弗朗西斯·韦贝尔,弗朗西斯·韦贝尔,热拉尔·德帕迪约 / 让·雷诺 / 理查德·贝里 / 安德烈·杜索里埃 / 让-皮埃尔·马洛 / 更多...,喜剧 / 犯罪,法国 / 意大利,法语,2003-10-22(法国),85分钟,请你闭嘴 / 闭嘴 / Shut Up! / Ruby & Quentin!,tt0310203,8.1,225096,30.7%,47.9%
1303630,https://movie.douban.com/subject/1303630/,1303630,赵良骏,赵良骏 / 邹凯光,吴君如 / 曾志伟 / 陈奕迅 / 刘德华 / 梁家辉 / 胡军 / 黄日华 / 杜汶泽 Chapman To / 田蕊妮 / 张坚庭,剧情 / 喜剧,中国香港,粤语 / 普通话,2002-12-26(中国香港),106分钟(多伦多电影节),Golden Chicken,tt0354593,8,73695,30.4%,49.2%
1303823,https://movie.douban.com/subject/1303823/,癫佬正传 癲佬正傳 (1986),尔冬升,尔冬升,冯淬帆 / 叶德娴 / 秦沛 / 陈国新 / 周润发 / 更多...,剧情,中国香港,粤语,1986-06-05(中国香港),92分钟,天天星期七(台) / The Lunatics,tt0090940,8.6,27154,42.9%,45.3%
1303897,https://movie.douban.com/subject/1303897/,宠物坟场 Pet Sematary (1989),玛丽·兰伯特,斯蒂芬·金,戴尔·米德基夫 / 弗雷德·格温 / 丹尼斯·克罗斯比 / 布拉德·格林奎斯特 / 迈克尔·隆巴德 / 更多...,惊悚 / 恐怖,美国,英语,1989-04-21(美国),103分钟,夜半仔敲门(港) / 禁入坟场(台) / 宠物公墓,tt0098084,7.1,13839,12.1%,37.2%
1303907,https://movie.douban.com/subject/1303907/,百变狸猫 平成狸合戦ぽんぽこ,高畑勋,高畑勋,古今亭朝太時代 / 三木纪平 / 清川虹子 / 野野村真 / 石田百合子 / 更多...,剧情 / 喜剧 / 动画 / 奇幻,日本,日语,1994-07-16(日本),119 分钟,平成狸合战 / 狸猫物语 / The Raccoon War / Pom Poko,tt0110008,8.6,106102,45.5%,41.5%
1303913,https://movie.douban.com/subject/1303913/,南海十三郎 (1997),高志森,杜国威,谢君豪 / 潘灿良 / 苏玉华 / 梁汉威 / 吴绮莉 / 更多...,剧情 / 爱情 / 传记,中国香港,粤语,1997-05-15(中国香港),110分钟,The Mad Phoenix,tt0134836,9.3,104919,70.6%,24.0%
1303917,https://movie.douban.com/subject/1303917/,阴阳师 陰陽師 (2001),泷田洋二郎,福田靖 / 梦枕貘 / 江良至,野村万斋 / 伊藤英明 / 今井绘理子 / 小泉今日子 Kyôko Koizumi / 真田广之 / 更多...,剧情 / 动作 / 恐怖 / 奇幻,日本,日语,2001-10-06(日本),112 分钟 / Switzerland: 116 分钟,Onmyoji / Onmyoji: The Yin Yang Master / Ying Yang Masters,tt0355857,7.8,40688,24.1%,45.7%
1303927,https://movie.douban.com/subject/1303927/,数码宝贝 滚球兽的诞生 デジモンアドベンチャー (1999),细田守,本乡昭由 / 吉田玲子,藤田淑子 / 荒木香惠 / 坂本千夏 / 石丸博也 / 榊原良子 / 更多...,动画 / 短片 / 冒险,日本,日语,1999-03-06(日本),20分钟,光丘事件 / Digimon: The Movie / Digimon Adventure,tt2049430,9.3,8800,70.0%,23.7%
1303944,https://movie.douban.com/subject/1303944/,鬼咬鬼 (1990),刘观伟,黄炳耀,洪金宝 / 林正英 / 孟海 / 林敏骢 / 龚慈恩 / 更多...,喜剧 / 动作 / 恐怖,中国香港,粤语,1990-02-09(中国香港),94分钟,Encounter of the Spooky Kind II / Spooky Encounters 2,tt0080828,7.6,21396,20.7%,43.0%
1304021,https://movie.douban.com/subject/1304021/,人吓人 人嚇人 (1982),午马,洪金宝 / 黄炳耀,洪金宝 / 午马 / 林正英 / 钟楚红 / 许良美 / 更多...,喜剧 / 动作 / 恐怖 / 历史 / 奇幻,中国香港,粤语,1982-12-22(中国香港),99分钟,The Dead and the Deadly / Fights Among Ghosts / 귀타귀(속) / 鬼打鬼（续）,tt0084587,7.5,24877,19.2%,41.8%
1304022,https://movie.douban.com/subject/1304022/,大腕 (2001),冯小刚,石康 / 冯小刚 / 李晓明,葛优 / 关之琳 / 英达 / 保罗·马祖斯基 / 唐纳德·萨瑟兰 / 更多...,喜剧,中国大陆 / 中国香港,汉语普通话 / 英语,2001-12-21(中国大陆),103分钟 / 107分钟(蓝光版),Big Shot's Funeral,tt0287934,8,237953,25.5%,50.1%
1304026,https://movie.douban.com/subject/1304026/,我要复仇 복수는 나의 것 (2002),朴赞郁,朴赞郁 / 李无影 / 李宗容,宋康昊 / 申河均 / 裴斗娜 / 林志恩 / 韩宝贝 / 更多...,剧情 / 动作 / 惊悚,韩国,韩语 / 韩国手语,2002-03-29(韩国),120分钟,复仇者的怜悯 / 复仇 / Sympathy for Mr. Vengeance,tt0310775,7.9,88129,24.8%,50.8%
1304044,https://movie.douban.com/subject/1304044/,鬼童院 El espinazo del diablo (2001),吉尔莫·德尔·托罗,吉尔莫·德尔·托罗 / 安东尼奥·特拉索拉斯 / 大卫·穆尼奥斯,玛丽萨·帕雷德斯 / 爱德华多·诺列加 / 费德里科·路皮 / 费尔南多·提尔弗 / 因尼哥·加塞斯 / 更多...,悬疑 / 惊悚 / 恐怖 / 奇幻,西班牙 / 墨西哥,西班牙语,2001-04-20(西班牙),108分钟,恶魔的脊椎骨 / 魔童魅影 / 童院魅影 / The Devil's Backbone,tt0256009,7.2,10241,11.9%,42.9%
1304056,https://movie.douban.com/subject/1304056/,茜茜公主 Sissi (1955),恩斯特·马里施卡,恩斯特·马里施卡,罗密·施耐德 / 卡尔海因茨·伯姆 / 玛格达·施奈德 / 乌塔·弗朗茨 / 古斯塔夫·克努特,剧情 / 喜剧 / 爱情 / 历史,奥地利,德语,1955-12-22(西德),101分钟,我爱西施(台) / 女王的少女时代 / 茜西,tt0048624,8.5,121561,40.2%,43.7%
1304073,https://movie.douban.com/subject/1304073/,假如爱有天意 클래식 (2003),郭在容,郭在容,孙艺珍 / 赵寅成 / 曹承佑 / 李己雨 / 李珠恩 / 更多...,剧情 / 爱情,韩国,韩语,2003-01-30,133分钟,缘起不灭(台) / 不可不信缘 / 爱有天意 / 当爱经过时 / The Classic / Keulraesik,tt0348568,8.5,441514,42.4%,40.4%
1304091,https://movie.douban.com/subject/1304091/,东方三侠 東方三俠 (1993),杜琪峰,邵丽琼,梅艳芳 / 杨紫琼 / 张曼玉 / 刘松仁 / 黄秋生 / 更多...,动作 / 奇幻 / 武侠,中国香港,粤语 / 英语,1993-02-12,88 分钟,飞天侠女 / The Heroic Trio / Eastern Three Heroes,tt0105619,7.5,65297,17.9%,44.2%
1303847,https://movie.douban.com/subject/1303847/,1303847,罗布·施密特,阿兰·B·麦克埃尔罗伊,戴斯蒙德·哈灵顿 / 艾丽莎·杜什库 / 埃曼纽尔·施莱琪 / 杰瑞米·西斯托 / 凯文·席格斯 / 林蒂·布丝 / 朱利安·瑞钦斯 / Garry Robbins / Ted Clark / Yvonne Gaudry / Joel Harris / 大卫·胡班 / 韦恩·罗布森 / James Downing,惊悚 / 恐怖 / 冒险,美国 / 德国,英语,2003-05-30,84分钟,肢解狂魔 / 致命弯路 / 鬼挡墙 / 鬼挡路,tt0295700,8,55517,11.1%,27.8%
1304102,https://movie.douban.com/subject/1304102/,谍影重重 The Bourne Identity (2002),道格·里曼,托尼·吉尔罗伊 / 罗伯特·陆德伦 / W·布莱克·赫伦,马特·达蒙 / 弗朗卡·波滕特 / 克里斯·库珀 / 克里夫·欧文 / 朱丽娅·斯蒂尔斯 / 更多...,动作 / 悬疑 / 惊悚,美国 / 德国 / 捷克,英语 / 法语 / 德语 / 荷兰语 / 意大利语,2002-11-21(中国大陆) / 2002-06-14(美国),119分钟,叛谍追击(港) / 神鬼认证(台) / 伯恩的身份 / 身份的迷惑,tt0258463,8.6,492094,44.3%,42.5%
1304132,https://movie.douban.com/subject/1304132/,无敌反斗星 無敵反斗星 (1995),朱延平,谭志华,郝劭文 / 释小龙 / 吴孟达,喜剧 / 动作 / 奇幻 / 冒险,中国台湾 / 中国香港,汉语普通话,1995-07-20(中国香港),94分钟,新乌龙院2之无敌反斗星 / Super Mischievous,tt0114990,7.7,35090,21.7%,46.6%
1304141,https://movie.douban.com/subject/1304141/,黑客帝国2：重装上阵 The Matrix Reloaded (2003),拉娜·沃卓斯基 / 莉莉·沃卓斯基,莉莉·沃卓斯基 / 拉娜·沃卓斯基,基努·里维斯 / 劳伦斯·菲什伯恩 / 凯瑞-安·莫斯 / 雨果·维文 / 莫妮卡·贝鲁奇 / 更多...,动作 / 科幻,美国,英语 / 法语,2003-07-18(中国大陆) / 2003-05-07(韦斯特伍德首映) / 2003-05-15(美国),138分钟,22世纪杀人网络2：决战未来(港) / 骇客任务：重装上阵(台) / 廿二世纪杀人网络2：决战未来 / 黑客帝国2 / 骇客帝国2,tt0234215,8.7,459218,47.7%,40.3%
1304244,https://movie.douban.com/subject/1304244/,我和春天有个约会,高志森,杜国威,刘雅丽 / 苏玉华 / 罗冠兰 / 冯蔚蘅 / 吴大维 / 更多...,剧情 / 爱情 / 歌舞,中国香港,粤语,1994-04-21(中国香港),86 分钟,I Have A Date With Spring / 我和春天有个约会电影版,tt0111739,8,8799,28.7%,46.8%
1304129,https://movie.douban.com/subject/1304129/,德州电锯杀人狂 The Texas Chainsaw Massacre (2003),马库斯·尼斯佩尔,金·亨克尔 / 托比·霍珀 / 斯科特·考萨,杰西卡·贝尔 / 乔纳森·塔克 / 艾丽卡·李尔森 / 迈克·沃格尔 / 艾里克·巴弗尔 / 更多...,惊悚 / 恐怖,美国,英语,2003-10-17(美国),98分钟,新德州电锯杀人狂 / 新德州电锯大屠杀 / 新德克萨斯链锯杀人狂 / 德州电锯杀人狂2003,tt0324216,6.9,42569,11.8%,32.3%
1304304,https://movie.douban.com/subject/1304304/,朱丽叶与梁山伯 朱麗葉與梁山伯 (2000),叶伟信,邹凯光 / 叶伟信,吴君如 / 任达华 / 吴镇宇 / 葛民辉 / 刘以达 / 更多...,剧情 / 爱情,中国香港,粤语,2000-03-02,89 分钟,Juliet in Love,tt0260992,8.2,33268,32.0%,49.3%
1304337,https://movie.douban.com/subject/1304337/,台北晚九朝五 (2002),戴立忍,成英姝,张兆志 / 黄立行 / 杨谨华 / 高捷 / 黄玉荣 / 更多...,剧情 / 爱情 / 情色,中国台湾 / 中国香港,汉语普通话,2002-11-07,97 分钟,台北晚9朝5 / Twenty Something Taipei,tt0356148,6.7,22684,9.3%,31.5%
1304310,https://movie.douban.com/subject/1304310/,月球旅行记 Le voyage dans la lune (1902),乔治·梅里爱,乔治·梅里爱 / 赫伯特·乔治·威尔斯 / 儒勒·凡尔纳,弗朗索瓦·拉勒芒 / 朱勒-尤金·乐可利 / 维克多·安德烈 / 布鲁耶特·贝尔农 / 布鲁奈特 / 更多...,喜剧 / 动作 / 科幻 / 短片 / 奇幻 / 冒险,法国,无对白,1902-09-01(法国),14 分钟(16 fps) / 8 分钟(25 fps),月球之旅 / A Trip to the Moon,tt0000417,9.1,52296,64.8%,28.7%
1304374,https://movie.douban.com/subject/1304374/,百万英镑 The Million Pound Note (1954),罗纳德·尼姆,马克·吐温 / 吉尔·克雷吉,格利高里·派克 / 罗纳德·斯夸尔 / 乔伊丝·格伦菲尔 / 简·格里菲思 / A·E·马修斯 / 更多...,喜剧 / 爱情,英国,英语,1954-01-07(英国),90分钟,Man with a Million,tt0046072,8.3,64989,31.6%,53.8%
