电影ID,电影链接,电影名称,导演,编剧,主演,类型,制片国家/地区,语言,上映日期,片长,又名,IMDb,豆瓣评分,评价人数,5星,4星
1294047,https://movie.douban.com/subject/1294047/,凡尔杜先生 Monsieur Verdoux (1947),查理·卓别林,查理·卓别林 / 奥逊·威尔斯,查理·卓别林 / 马迪·科雷尔 / 艾莉森·罗丹 / 罗伯特·刘易斯 / 玛莎·雷伊 / 更多...,剧情 / 喜剧 / 犯罪,美国,英语,1947-04-11,124分钟,华度先生 / 杀人狂时代 / 杀人的喜剧 / 杀人喜剧 / A Comedy of Murders / The Ladykiller,tt0039631,8.7,13381,48.4%,41.1%
1294092,https://movie.douban.com/subject/1294092/,恐惧吞噬灵魂 Angst essen Seele auf (1974),赖纳·维尔纳·法斯宾德,赖纳·维尔纳·法斯宾德,布里吉特·米拉 / 埃尔·赫迪·本·萨利姆 / 伊尔姆·赫尔曼 / 埃尔玛·卡洛瓦 / 玛吉特·西莫 / 更多...,剧情 / 爱情,西德,德语 / 阿拉伯语,1974-03-05(西德),93分钟,恐惧蚀人生 / 恐惧吞噬心灵 / Ali: Fear Eats the Soul,tt0071141,8.5,22481,36.5%,51.0%
1294123,https://movie.douban.com/subject/1294123/,鬼新娘 (1987),黎大炜 / 黄泰来,萧若元,钟楚红 / 周润发 / 王小凤 / 叶德娴,剧情 / 喜剧 / 惊悚 / 恐怖,中国香港,粤语,1987-10-15,88 分钟,Spiritual Love,tt0089238,6.9,8893,11.4%,28.6%
1294136,https://movie.douban.com/subject/1294136/,天鹅绒金矿 Velvet Goldmine (1998),托德·海因斯,詹姆斯·莱昂斯 / 托德·海因斯,伊万·麦克格雷格 / 乔纳森·莱斯·梅耶斯 / 克里斯蒂安·贝尔 / 托妮·科莱特 / 艾迪·伊扎德 / 更多...,剧情 / 同性 / 音乐,英国 / 美国,英语 / 法语,1998-11-06,118分钟,紫醉金迷(港) / 丝绒金矿 / 纸醉金迷,tt0120879,8.4,70949,40.1%,41.1%
1294138,https://movie.douban.com/subject/1294138/,敲开天堂的门 Knockin' on Heaven's Door (1997),托马斯·雅恩,托马斯·雅恩 / 蒂尔·施威格,蒂尔·施威格 / 扬·约瑟夫·利费斯 / 蒂埃里·范·维凡客 / 莫里兹·布雷多 / 休伯·史塔普 / 更多...,剧情 / 喜剧 / 动作 / 犯罪,德国,德语 / 英语,1997-02-20(德国),87分钟,战龙闯天关 / 末路叹世界 / 敲开天堂门 / 扣响上帝之门 / 敲开天堂之门,tt0119472,8.4,18495,41.1%,41.1%
1294140,https://movie.douban.com/subject/1294140/,秋天的故事 Conte d'automne (1998),埃里克·侯麦,埃里克·侯麦,玛丽·里维埃 / 碧翠丝·罗曼德 / 艾莉西亚·波特尔 / 阿兰·利博 / 迪迪埃·桑德尔 / 更多...,剧情 / 爱情,法国,法语,1998-09-07(威尼斯电影节) / 1998-09-23(法国),112分钟,人间四季之秋天的故事 / Autumn Tale / A Tale of Autumn,tt0137439,8.5,66411,39.1%,48.9%
1294181,https://movie.douban.com/subject/1294181/,大佬 Brother (2000),北野武,北野武,北野武 / 欧玛·艾普斯 / 真木藏人 / 加藤雅也 / 寺岛进 / 更多...,剧情 / 惊悚 / 犯罪,日本 / 英国 / 美国,英语 / 日语 / 意大利语 / 西班牙语,2000-09-09(威尼斯电影节) / 2001-01-27(日本),114分钟,四海兄弟 / 兄弟,tt0222851,8.4,51303,37.8%,46.8%
1294240,https://movie.douban.com/subject/1294240/,教父3 The Godfather: Part III (1990),弗朗西斯·福特·科波拉,马里奥·普佐 / 弗朗西斯·福特·科波拉,阿尔·帕西诺 / 黛安·基顿 / 塔莉娅·夏尔 / 安迪·加西亚 / 伊莱·瓦拉赫 / 更多...,剧情 / 犯罪,美国,英语 / 意大利语 / 德语 / 拉丁语,1990-12-25(美国),162分钟 / 170分钟 / 157分钟(导演剪辑版),"教父第三集 / 教父 III / 马里奥·普佐的教父终章：迈克·柯里昂之死 / Mario Puzo’s The Godfather, Coda: The Death of Michael Corleone",tt0099674,9,435847,60.2%,31.8%
1294244,https://movie.douban.com/subject/1294244/,绅士爱美人 Gentlemen Prefer Blondes (1953),霍华德·霍克斯,查尔斯·莱德勒 / 约瑟夫·菲尔兹 / 安尼塔·卢斯,简·拉塞尔 / 玛丽莲·梦露 / 查尔斯·科本 / 埃利奥特·里德 / 托米·努南 / 更多...,剧情 / 喜剧 / 爱情 / 歌舞,美国,英语 / 法语,1953-07-01(美国),91 分钟,绅士喜爱金发女郎 / 绅士爱淑女 / Howard Hawks' Gentlemen Prefer Blondes,tt0045810,8,13225,26.3%,48.1%
1294252,https://movie.douban.com/subject/1294252/,雾中风景 Τοπίο στην ομίχλη (1988),西奥·安哲罗普洛斯,萨纳西斯·瓦尔蒂诺斯 / 西奥·安哲罗普洛斯 / 托尼诺·格拉,米哈利斯·齐克 / 塔尼娅·帕拉依奥罗葛 / 斯特拉托斯·楚措格卢 / 伊娃·科塔曼尼多 / 阿利基·耶奥古利 / 更多...,剧情,希腊 / 法国 / 意大利,希腊语,1988-08-31(威尼斯电影节) / 1988-09-10(希腊),127分钟,Landscape in the Mist,tt0096288,8.9,60333,57.8%,32.8%
1294262,https://movie.douban.com/subject/1294262/,的士速递 Taxi (1998),吉拉尔·皮雷,吕克·贝松,萨米·纳塞利 / 玛丽昂·歌迪亚 / 弗雷德里克·迪芬塔尔 / Manuela Gourary / 艾玛·韦克伦德,喜剧 / 动作 / 犯罪,法国,法语 / 德语 / 韩语 / 葡萄牙语,1998-04-08(法国),89分钟,终极杀阵(台) / 出租车司机 / 的士速逮,tt0152930,7.9,94025,22.3%,51.2%
1294300,https://movie.douban.com/subject/1294300/,曼哈顿 Manhattan (1979),伍迪·艾伦,马歇尔·布瑞克曼 / 伍迪·艾伦,黛安·基顿 / 梅丽尔·斯特里普 / 伍迪·艾伦 / 迈克尔·墨菲 / 玛瑞儿·海明威,剧情 / 喜剧 / 爱情,美国,英语,1979-04-25,96 分钟,曼克顿,tt0079522,8.3,47698,33.3%,50.0%
